 ,Room 1,Room 1 - Company,Room 1 - Associate,Room 2,Room 2 - Company,Room 2 - Associate,Room 3,Room 3 - Company,Room 3 - Associate,Room 4,Room 4 - Company,Room 4 - Associate,Room5 PowWow,,Room 5 - Staff
9:00 AM,,,,,,,,,,,,,,,
9:30 AM,,,,,,,,,,,,,,,
10:00 AM,,,,,,,,,,,,,,,
10:30 AM,,,,,,,,,,,,,,,
11:00 AM,,,,,,,,,,,,,,,
11:30 AM,,,,,,,,,,,,,,,
12:00 PM,,,,,,,,,,,,,,,
12:30 PM,,,,,,,,,,,,,,,
1:00 PM,,,,,,,,,,,,,,,
1:30 PM,,,,,,,,,,,,,,,
2:00 PM,,,,,,,,,,,,,,,
2:30 PM,,,,,,,,,,,,,,,
3:00 PM,Yoav Shapira,,,,,,,,,,,,,,
3:30 PM,Yoav Shapira,,,,,,,,,,,,,,
4:00 PM,Yoav Shapira,,,,,,,,,,,,,,
4:30 PM,Yoav Shapira,,,,,,,,,,,,,,
5:00 PM,Yoav Shapira,,,,,,,,,,,,,,
5:30 PM,,,,,,,,,,,,,,,
6:00 PM,,,,,,,,,,,,,,,
